,Unnamed: 0,latitude,longitude,geoname_id,location_type_name,location_type_code,location_details
40,40,-24.76234,25.7995,7670702,second-order administrative division,ADM2,Gaborone
49,49,-9.67548,16.82553,2239858,first-order administrative division,ADM1,Malanje Province
50,50,-9.54015,16.34096,2239862,seat of a first-order administrative division,PPLA,Malanje Province
52,52,-8.91666,13.33924,2240444,first-order administrative division,ADM1,"Luanda, Cacuaco"
53,53,-8.7798,13.37478,2243173,populated place,PPL,"Luanda, Cacuaco"
54,54,-8.83682,13.23432,2240449,capital of a political entity,PPLC,"Luanda, Cacuaco"
56,56,-7.75938,15.2722,2239069,populated place,PPL,"Caxito, Uige, Negage"
57,57,-6.05716,15.10971,2239732,populated place,PPL,"Caxito, Uige, Negage"
58,58,-7.60874,15.06131,2236568,seat of a first-order administrative division,PPLA,"Caxito, Uige, Negage"
59,59,-8.57848,13.66425,2242001,seat of a first-order administrative division,PPLA,"Caxito, Uige, Negage"
60,60,10.51667,-11.45,2414726,populated place,PPL,"Tinkisso, Guinea"
61,61,11.25,-10.61667,2414725,populated place,PPL,"Tinkisso, Guinea"
63,63,14.16667,38.83333,444187,first-order administrative division,ADM1,"Gotera-Wollo, Addis Ababa"
64,64,9.0,38.75,444178,first-order administrative division,ADM1,"Gotera-Wollo, Addis Ababa"
65,65,12.68333,39.55,329057,populated place,PPL,"Gotera-Wollo, Addis Ababa"
66,66,9.02497,38.74689,344979,capital of a political entity,PPLC,"Gotera-Wollo, Addis Ababa"
67,67,12.96033,39.52831,7667868,second-order administrative division,ADM2,"Gotera-Wollo, Addis Ababa"
68,68,9.02047,38.74457,7733020,second-order administrative division,ADM2,"Gotera-Wollo, Addis Ababa"
69,69,15.0,10.5,2437797,first-order administrative division,ADM1,Zinder
72,72,-1.3,13.9,2400454,first-order administrative division,ADM1,Poubara 
73,73,-1.63333,13.58357,2400555,seat of a first-order administrative division,PPLA,Poubara 
74,74,-1.76203,13.55207,2396510,waterfall(s),FLLS,Poubara 
81,81,-3.3822,29.3644,425378,capital of a political entity,PPLC,"Bujumbura and its suburbs, three other cities"
88,88,9.0,38.75,444178,first-order administrative division,ADM1,Gotera Intersection in Addis Ababa
89,89,9.02497,38.74689,344979,capital of a political entity,PPLC,Gotera Intersection in Addis Ababa
90,90,9.02047,38.74457,7733020,second-order administrative division,ADM2,Gotera Intersection in Addis Ababa
91,91,9.0,38.75,444178,first-order administrative division,ADM1,Addis Ababa
92,92,9.02497,38.74689,344979,capital of a political entity,PPLC,Addis Ababa
93,93,9.02047,38.74457,7733020,second-order administrative division,ADM2,Addis Ababa
96,96,-24.05791,23.28187,11205124,populated place,PPL,"Kweneng, Souther, and Kgalagadi Districts"
97,97,-24.08588,23.07867,933280,populated place,PPL,"Kweneng, Souther, and Kgalagadi Districts"
98,98,-23.98333,23.9,933787,populated place,PPL,"Kweneng, Souther, and Kgalagadi Districts"
99,99,-23.87813,23.67398,11611133,populated place,PPL,"Kweneng, Souther, and Kgalagadi Districts"
100,100,0.072,34.712,7667638,first-order administrative division,ADM1,Western Kenya
101,101,0.11094,34.83074,8051211,populated place,PPL,Western Kenya
102,102,0.30846,35.08311,7602644,second-order administrative division,ADM2,Western Kenya
103,103,0.07002,34.86098,180555,school,SCH,Western Kenya
104,104,0.5,36.0,400744,historical first-order administrative division,ADM1H,Western Kenya
105,105,0.15101,35.14491,191589,farm village,PPLF,Western Kenya
106,106,-6.15,39.51667,150702,populated place,PPL,Chalinze
107,107,-6.56667,38.3,152948,populated place,PPL,Chalinze
108,108,-6.33333,38.38333,153018,populated place,PPL,Chalinze
109,109,-6.11667,38.4,153799,populated place,PPL,Chalinze
110,110,-6.06667,38.23333,154266,populated place,PPL,Chalinze
111,111,-7.43333,33.43333,154345,populated place,PPL,Chalinze
112,112,-6.4,38.35,154461,populated place,PPL,Chalinze
113,113,-6.21667,38.4,154919,populated place,PPL,Chalinze
114,114,-6.45,38.33333,155743,populated place,PPL,Chalinze
115,115,-9.9,38.36667,157680,populated place,PPL,Chalinze
116,116,-6.63784,38.35396,160660,populated place,PPL,Chalinze
118,118,6.38948,2.34581,2394092,populated place,PPL,Cotonou
119,119,6.36536,2.41833,2394819,seat of government of a political entity,PPLG,Cotonou
129,129,10.06069,-2.50192,2294206,seat of a first-order administrative division,PPLA,"Tamale, Accra"
130,130,9.40079,-0.8393,2294877,seat of a first-order administrative division,PPLA,"Tamale, Accra"
131,131,7.33991,-2.32676,2295021,seat of a first-order administrative division,PPLA,"Tamale, Accra"
132,132,4.934,-1.7137,2295458,seat of a first-order administrative division,PPLA,"Tamale, Accra"
133,133,6.09408,-0.25913,2299522,seat of a first-order administrative division,PPLA,"Tamale, Accra"
134,134,6.60084,0.4713,2300379,seat of a first-order administrative division,PPLA,"Tamale, Accra"
135,135,6.68848,-1.62443,2298890,seat of a first-order administrative division,PPLA,"Tamale, Accra"
136,136,5.10535,-1.2466,2302357,seat of a first-order administrative division,PPLA,"Tamale, Accra"
137,137,10.78556,-0.85139,2302821,seat of a first-order administrative division,PPLA,"Tamale, Accra"
139,139,-5.92752,12.37148,2312393,populated place,PPL,"Kinshasa, Moanda"
140,140,-5.52764,19.84604,2312732,populated place,PPL,"Kinshasa, Moanda"
141,141,-4.32758,15.31357,2314302,capital of a political entity,PPLC,"Kinshasa, Moanda"
142,142,-4.47223,15.8836,7731965,third-order administrative division,ADM3,"Kinshasa, Moanda"
143,143,-5.80893,12.63006,8260603,third-order administrative division,ADM3,"Kinshasa, Moanda"
144,144,13.51366,2.1098,2440485,capital of a political entity,PPLC,Niamey
148,148,-1.2653,15.89996,2255751,populated place,PPL,Ollombo
149,149,-1.21879,15.91421,8051170,airport,AIRP,Ollombo
157,157,-4.26613,15.28318,2260535,capital of a political entity,PPLC,Brazzaville
158,158,-4.2517,15.25303,6296955,airport,AIRP,Brazzaville
161,161,18.08581,-15.9785,2377450,capital of a political entity,PPLC,Nouakchott
162,162,6.88672,3.19788,2325021,populated place,PPL,Ogun
163,163,18.48333,31.81667,370481,populated place,PPL,longitude 32 E and latitude 19 N
164,164,18.66889,32.05028,8051144,dam,DAM,longitude 32 E and latitude 19 N
165,165,7.75,-1.5,2302547,first-order administrative division,ADM1,Bui
166,166,8.2786,-2.23602,8051343,dam,DAM,Bui
191,191,-1.28333,36.81667,184745,capital of a political entity,PPLC,"North and East Ring Road sections, Nairobi, Kenya"
192,192,-1.29,36.82,7667649,second-order administrative division,ADM2,"North and East Ring Road sections, Nairobi, Kenya"
193,193,3.75,8.78333,2309527,capital of a political entity,PPLC,Malabo
195,195,-8.63543,19.64852,145702,first-order administrative division,ADM1,"Namibe, Huile, Cunene, Lunda Norte"
196,196,-15.33207,12.66002,3347016,first-order administrative division,ADM1,"Namibe, Huile, Cunene, Lunda Norte"
197,197,-14.69531,15.00014,3348303,first-order administrative division,ADM1,"Namibe, Huile, Cunene, Lunda Norte"
198,198,-16.51009,15.43526,3349096,first-order administrative division,ADM1,"Namibe, Huile, Cunene, Lunda Norte"
199,199,-14.91717,13.4925,3347762,seat of a first-order administrative division,PPLA,"Namibe, Huile, Cunene, Lunda Norte"
200,200,-15.19611,12.15222,3347019,seat of a first-order administrative division,PPLA,"Namibe, Huile, Cunene, Lunda Norte"
201,201,14.40118,33.51989,364103,seat of a first-order administrative division,PPLA,Wad Medani
202,202,-6.56667,38.3,152948,populated place,PPL,Chalinze
203,203,-6.33333,38.38333,153018,populated place,PPL,Chalinze
204,204,-6.11667,38.4,153799,populated place,PPL,Chalinze
205,205,-6.06667,38.23333,154266,populated place,PPL,Chalinze
206,206,-6.4,38.35,154461,populated place,PPL,Chalinze
207,207,-5.15,38.36667,154922,populated place,PPL,Chalinze
208,208,-6.45,38.33333,155743,populated place,PPL,Chalinze
209,209,-6.41667,38.73333,157821,populated place,PPL,Chalinze
210,210,-6.63784,38.35396,160660,populated place,PPL,Chalinze
213,213,7.51667,0.6,2363628,populated place,PPL,Tomegbe
214,214,12.65,-8.0,2460596,capital of a political entity,PPLC,Bamako
216,216,-1.91667,30.08333,6413338,first-order administrative division,ADM1,Kigali
217,217,-1.94995,30.05885,202061,capital of a political entity,PPLC,Kigali
218,218,-1.99095,30.02127,7690205,second-order administrative division,ADM2,Kigali
219,219,13.62793,25.34936,379555,seat of a first-order administrative division,PPLA,Al-fashir in North Darfur State
227,227,-3.3822,29.3644,425378,capital of a political entity,PPLC,Bujumbura
231,231,3.11667,12.26667,2225659,populated place,PPL,Mvomeka
234,234,4.04827,9.70428,2232593,seat of a first-order administrative division,PPLA,Douala
235,235,3.9075,11.53889,8449637,hospital,HSP,Douala
236,236,4.1532,9.5587,2594984,populated place,PPL,Douala
237,237,4.04827,9.70428,2232593,seat of a first-order administrative division,PPLA,Douala
238,238,4.0471,9.5614,2225743,stream,STM,Douala
240,240,3.86667,11.51667,2220957,capital of a political entity,PPLC,Mballa
241,241,3.90141,11.52008,8449661,building(s),BLDG,Mballa
242,242,-3.3822,29.3644,425378,capital of a political entity,PPLC,Bujumbura
246,246,3.86667,11.51667,2220957,capital of a political entity,PPLC,Yaounde/Sanaga River
250,250,2.93725,9.90765,2229761,populated place,PPL,Kribi
251,251,4.36122,18.55496,2389853,capital of a political entity,PPLC,Bangui
252,252,4.36122,18.55496,2389853,capital of a political entity,PPLC,Outside Bangui
253,253,-16.53818,28.70876,898188,populated place,PPL,Siavonga
254,254,-16.52205,28.76165,912834,dam,DAM,Siavonga
255,255,-3.06667,29.66667,430951,first-order administrative division,ADM1,Kayanza
256,256,-2.9221,29.6293,430952,seat of a first-order administrative division,PPLA,Kayanza
258,258,14.93152,-23.51254,3374333,capital of a political entity,PPLC,Praia
272,272,4.31371,18.30652,2388865,populated place,PPL,Bimbo
273,273,4.25671,18.41583,2388873,seat of a first-order administrative division,PPLA,Bimbo
275,275,10.5,0.5,2364205,first-order administrative division,ADM1,"Lome, Tandjouare, Cinkasse, DÍ©falÍ©"
276,276,9.66667,0.91667,2597439,first-order administrative division,ADM1,"Lome, Tandjouare, Cinkasse, DÍ©falÍ©"
277,277,10.65583,0.195,2363975,populated place,PPL,"Lome, Tandjouare, Cinkasse, DÍ©falÍ©"
278,278,6.26048,1.03611,2364761,populated place,PPL,"Lome, Tandjouare, Cinkasse, DÍ©falÍ©"
279,279,9.87611,1.08639,2367140,populated place,PPL,"Lome, Tandjouare, Cinkasse, DÍ©falÍ©"
280,280,11.10389,0.00944,2367226,populated place,PPL,"Lome, Tandjouare, Cinkasse, DÍ©falÍ©"
281,281,9.35,1.26667,2367656,populated place,PPL,"Lome, Tandjouare, Cinkasse, DÍ©falÍ©"
282,282,9.25,1.2,2368106,populated place,PPL,"Lome, Tandjouare, Cinkasse, DÍ©falÍ©"
283,283,6.13748,1.21227,2365267,capital of a political entity,PPLC,"Lome, Tandjouare, Cinkasse, DÍ©falÍ©"
284,284,10.86225,0.20762,2367164,seat of a first-order administrative division,PPLA,"Lome, Tandjouare, Cinkasse, DÍ©falÍ©"
285,285,9.83333,1.08333,2364811,second-order administrative division,ADM2,"Lome, Tandjouare, Cinkasse, DÍ©falÍ©"
286,286,6.23333,1.2,2365263,second-order administrative division,ADM2,"Lome, Tandjouare, Cinkasse, DÍ©falÍ©"
287,287,10.91667,0.16667,2367163,second-order administrative division,ADM2,"Lome, Tandjouare, Cinkasse, DÍ©falÍ©"
288,288,6.43333,0.93333,2597440,second-order administrative division,ADM2,"Lome, Tandjouare, Cinkasse, DÍ©falÍ©"
289,289,9.33333,1.25,2367655,second-order administrative division,ADM2,"Lome, Tandjouare, Cinkasse, DÍ©falÍ©"
290,290,10.66667,0.13333,2597448,second-order administrative division,ADM2,"Lome, Tandjouare, Cinkasse, DÍ©falÍ©"
292,292,9.3642,14.9046,2426240,seat of a first-order administrative division,PPLA,"Pala, Mayo-Kebbi Ouest Region"
295,295,13.5,21.25,242246,first-order administrative division,ADM1,Ndjamena
296,296,14.0,19.0,2435899,first-order administrative division,ADM1,Ndjamena
297,297,13.2954,19.6966,2426370,populated place,PPL,Ndjamena
298,298,13.82916,20.8324,245785,seat of a first-order administrative division,PPLA,Ndjamena
299,299,13.28972,19.69028,8659322,second-order administrative division,ADM2,Ndjamena
300,300,14.18333,20.7,8659323,second-order administrative division,ADM2,Ndjamena
301,301,-3.16667,28.25,205413,first-order administrative division,ADM1,"Bukavu, South Kivu"
302,302,-2.29011,28.79105,213632,populated place,PPL,"Bukavu, South Kivu"
303,303,-2.49076,28.84281,217831,seat of a first-order administrative division,PPLA,"Bukavu, South Kivu"
304,304,-2.5,28.86667,217830,third-order administrative division,ADM3,"Bukavu, South Kivu"
305,305,-2.30898,28.8088,7668273,airport,AIRP,"Bukavu, South Kivu"
306,306,-12.34268,43.73623,921780,first-order administrative division,ADM1,Moheli Islands
311,311,4.80048,18.12747,2388720,populated place,PPL,Ombella M'Poko Prefecture
312,312,4.92015,18.0011,8051337,dam,DAM,Ombella M'Poko Prefecture
314,314,-3.53333,14.83333,2255404,first-order administrative division,ADM1,"Djoue, Brazzaville"
315,315,-4.26613,15.28318,2260535,capital of a political entity,PPLC,"Djoue, Brazzaville"
318,318,-3.53333,14.83333,2255404,first-order administrative division,ADM1,215km north of Brazzaville
319,319,-3.29605,15.77606,7732000,second-order administrative division,ADM2,215km north of Brazzaville
320,320,-2.93413,16.12793,8504609,dam,DAM,215km north of Brazzaville
321,321,12.0,42.5,220781,first-order administrative division,ADM1,Dikhil and Tadjourah
322,322,11.5,42.16667,223889,first-order administrative division,ADM1,Dikhil and Tadjourah
323,323,11.58901,43.14503,223817,capital of a political entity,PPLC,Dikhil and Tadjourah
324,324,11.78528,42.88444,220782,seat of a first-order administrative division,PPLA,Dikhil and Tadjourah
325,325,11.10861,42.37389,223890,seat of a first-order administrative division,PPLA,Dikhil and Tadjourah
326,326,-4.40833,15.36611,2593464,populated place,PPL,"N'djili, Kinshasa"
327,327,-4.38575,15.44457,2312103,airport,AIRP,"N'djili, Kinshasa"
328,328,-4.29611,13.85083,2258080,populated place,PPL,Loutete
329,329,-0.5,16.0,2260487,first-order administrative division,ADM1,"Brazzaville, Pointe Noire region"
330,330,-4.79029,11.87622,7280295,first-order administrative division,ADM1,"Brazzaville, Pointe Noire region"
331,331,-4.26613,15.28318,2260535,capital of a political entity,PPLC,"Brazzaville, Pointe Noire region"
332,332,-4.77609,11.86352,2255414,seat of a first-order administrative division,PPLA,"Brazzaville, Pointe Noire region"
333,333,-4.32758,15.31357,2314302,capital of a political entity,PPLC,Kinshasa
334,334,-5.33333,14.33333,2317277,first-order administrative division,ADM1,Bas-Congo province
343,343,1.86391,9.76582,2310046,seat of a first-order administrative division,PPLA,Bata
345,345,15.33805,38.93184,343300,capital of a political entity,PPLC,Asmara
347,347,6.82055,-5.27674,2279755,capital of a political entity,PPLC,"Yamoussoukro, Ivory Coast"
355,355,31.13385,30.12843,354775,populated place,PPL,"Kafr el-Dawar, Egypt"
356,356,28.16667,33.45,235614,gulf,GULF,"An industrial area northwest of the Gulf of Suez, Egypt"
358,358,0.39241,9.45356,2399697,capital of a political entity,PPLC,Libreville
359,359,-1.63333,13.58357,2400555,seat of a first-order administrative division,PPLA,Libreville
360,360,36.73655,2.94981,2484894,populated place,PPL,Ouled Fayet
361,361,0.66667,12.83333,2396926,first-order administrative division,ADM1,Ogooue-Ivindo Province
363,363,30.06263,31.24967,360630,capital of a political entity,PPLC,"Cairo University, Cairo"
364,364,30.53717,31.01566,354574,populated place,PPL,"Kfar Museilha, Menoufia, 65 km north to Cairo"
370,370,16.0,39.0,448502,first-order administrative division,ADM1,"Gedem, Northern Red Sea Region (eastern Eritrea)"
377,377,14.84444,39.37722,345046,populated place,PPL,Adi-Keyih town
380,380,15.48586,37.53342,341991,populated place,PPL,Bisha gold mine project
382,382,14.82444,37.44111,326959,populated place,PPL,Awgaro
383,383,9.02497,38.74689,344979,capital of a political entity,PPLC,Addis Ababa
384,384,7.06205,38.47635,343137,seat of a first-order administrative division,PPLA,Awassa
393,393,-0.88667,36.26944,182245,area,AREA,"Olkaria IV geothermal field, Rift Alley, Kenya"
394,394,-0.91583,36.31333,8051313,park,PRK,"Olkaria IV geothermal field, Rift Alley, Kenya"
395,395,0.39241,9.45356,2399697,capital of a political entity,PPLC,Libreville
396,396,30.5,31.0,360689,first-order administrative division,ADM1,"Kafr Meselha, Al-Monofia governorate"
397,397,30.53717,31.01566,354574,populated place,PPL,"Kafr Meselha, Al-Monofia governorate"
400,400,-1.63333,13.58357,2400555,seat of a first-order administrative division,PPLA,Franceville
405,405,30.06263,31.24967,360630,capital of a political entity,PPLC,"Cairo, Egypt"
407,407,-23.10407,26.81421,933471,populated place,PPL,Mahalapye
408,408,-23.21687,26.32535,7670706,second-order administrative division,ADM2,Mahalapye
411,411,-1.56652,13.1987,2398269,populated place,PPL,Moanda
412,412,0.39241,9.45356,2399697,capital of a political entity,PPLC,Libreville
413,413,7.07081,-7.91012,2279370,populated place,PPL,Zeregbo
434,434,5.30966,-4.01266,2293538,seat of a first-order administrative division,PPLA,Abidjan
435,435,6.58333,-6.25,2596931,populated place,PPL,Gagnoa
436,436,6.13193,-5.9506,2288829,seat of a first-order administrative division,PPLA,Gagnoa
437,437,5.30966,-4.01266,2293538,seat of a first-order administrative division,PPLA,"annex of the ministries complex at the Plateau, Ivory Coast"
438,438,5.32549,-4.02014,7732557,third-order administrative division,ADM3,"annex of the ministries complex at the Plateau, Ivory Coast"
444,444,9.8,38.4,337152,populated place,PPL,Neshi River;
445,445,9.9,37.45,337735,populated place,PPL,Neshi River;
446,446,9.43333,38.65,339294,populated place,PPL,Neshi River;
447,447,13.28333,41.08333,344119,mountain,MT,Neshi River;
448,448,9.68333,37.98333,330386,hill,HLL,Neshi River;
459,459,-25.41444,32.58611,1039618,populated place,PPL,Maputo Central Hospital; Mavalane General Hospital
460,460,-25.96553,32.58322,1040652,capital of a political entity,PPLC,Maputo Central Hospital; Mavalane General Hospital
461,461,-18.91368,47.53613,1070940,capital of a political entity,PPLC,"Befelatanana Hospital, Antananarivo %26 more"
463,463,-25.96553,32.58322,1040652,capital of a political entity,PPLC,Maputo
464,464,-25.96553,32.58322,1040652,capital of a political entity,PPLC,Maputo
470,470,-13.96692,33.78725,927967,capital of a political entity,PPLC,Lilongwe
471,471,-13.96692,33.78725,927967,capital of a political entity,PPLC,Lilongwe
472,472,-13.96692,33.78725,927967,capital of a political entity,PPLC,Lilongwe
473,473,-15.60271,35.26015,927557,populated place,PPL,Lilongwe
500,500,-18.01274,31.07555,1106542,populated place,PPL,"Chitungwiza Central Hospital, Harare"
502,502,-3.4627,29.46259,7303940,first-order administrative division,ADM1,"Mugere, Province of Bujumbura Rural"
503,503,-3.3822,29.3644,425378,capital of a political entity,PPLC,"Mugere, Province of Bujumbura Rural"
504,504,-3.4627,29.46259,7303940,first-order administrative division,ADM1,"Mugere, Province of Bujumbura Rural"
505,505,-3.7776,29.3562,423429,populated locality,PPLL,"Mugere, Province of Bujumbura Rural"
506,506,-16.10583,35.1506,930283,second-order administrative division,ADM2,Thyolo
507,507,-13.96692,33.78725,927967,capital of a political entity,PPLC,"Thyolo, Lilongwe"
508,508,-16.10583,35.1506,930283,second-order administrative division,ADM2,"Thyolo, Lilongwe"
509,509,-16.06775,35.14046,923652,seat of a second-order administrative division,PPLA2,"Thyolo, Lilongwe"
514,514,6.82055,-5.27674,2279755,capital of a political entity,PPLC,Yamoussoukro
518,518,11.86357,-15.59767,2374775,capital of a political entity,PPLC,Bissau
527,527,-18.9028,47.5092,8692925,section of populated place,PPLX,Antananarivo suburb known as 67 ha
530,530,-18.91368,47.53613,1070940,capital of a political entity,PPLC,Antananarivo
531,531,-29.31667,27.48333,932505,capital of a political entity,PPLC,Maseru
535,535,-29.31667,27.48333,932505,capital of a political entity,PPLC,Maseru
538,538,-29.31667,27.48333,932505,capital of a political entity,PPLC,"Maseru, Lesotho"
539,539,-28.8,28.56667,932888,first-order administrative division,ADM1,"Butha Buthe, Lesotho"
540,540,-28.76659,28.24937,932886,seat of a first-order administrative division,PPLA,"Butha Buthe, Lesotho"
542,542,-29.31667,27.48333,932505,capital of a political entity,PPLC,"Maseru, Lesotho"
550,550,-1.91667,30.08333,6413338,first-order administrative division,ADM1,Kigali
551,551,-1.9784,30.1771,202854,populated place,PPL,Kigali
552,552,-1.94995,30.05885,202061,capital of a political entity,PPLC,Kigali
553,553,-1.99095,30.02127,7690205,second-order administrative division,ADM2,Kigali
554,554,-1.9631,30.1346,385994,airport,AIRP,Kigali
560,560,-4.2657,15.28048,2572183,first-order administrative division,ADM1,Brazzaville suburbs
563,563,-20.14167,28.55,1105843,first-order administrative division,ADM1,"Bulawayo, Zimbabwe; Matabeleland, Midlands, Gweru, Zvishavane, West Nicholson"
564,564,-19.2,29.8,886119,first-order administrative division,ADM1,"Bulawayo, Zimbabwe; Matabeleland, Midlands, Gweru, Zvishavane, West Nicholson"
565,565,-20.9,28.8,886747,first-order administrative division,ADM1,"Bulawayo, Zimbabwe; Matabeleland, Midlands, Gweru, Zvishavane, West Nicholson"
566,566,-18.83333,27.41667,886748,first-order administrative division,ADM1,"Bulawayo, Zimbabwe; Matabeleland, Midlands, Gweru, Zvishavane, West Nicholson"
567,567,-20.15,28.58333,894701,seat of a first-order administrative division,PPLA,"Bulawayo, Zimbabwe; Matabeleland, Midlands, Gweru, Zvishavane, West Nicholson"
569,569,11.26667,30.83333,408661,first-order administrative division,ADM1,South Kordofan
570,570,8.0,39.0,444185,first-order administrative division,ADM1,Linking Addis and Adama
571,571,8.55,39.26667,330186,populated place,PPL,Linking Addis and Adama
572,572,9.02497,38.74689,344979,capital of a political entity,PPLC,Linking Addis and Adama
573,573,8.66667,1.0,2367237,first-order administrative division,ADM1,"Centrale, Kara"
574,574,9.66667,0.91667,2597439,first-order administrative division,ADM1,"Centrale, Kara"
578,578,11.26667,30.83333,408661,first-order administrative division,ADM1,Al-Fulah
579,579,14.68333,29.93333,408667,first-order administrative division,ADM1,Al-Fulah
580,580,12.9442,31.9365,379534,populated place,PPL,Al-Fulah
581,581,11.73292,28.35786,379535,populated place,PPL,Al-Fulah
582,582,13.18421,30.21669,379003,seat of a first-order administrative division,PPLA,Al-Fulah
583,583,13.13,30.08,8051146,second-order administrative division,ADM2,Al-Fulah
585,585,13.41667,22.66667,408658,first-order administrative division,ADM1,Zalingei to El Geneina
586,586,12.90918,23.47058,363533,seat of a first-order administrative division,PPLA,Zalingei to El Geneina
587,587,13.45262,22.44725,379303,seat of a first-order administrative division,PPLA,Zalingei to El Geneina
596,596,-1.28333,36.81667,184745,capital of a political entity,PPLC,"Nairobi, Kenya"
597,597,-1.28333,36.81667,184745,capital of a political entity,PPLC,"Nairobi, Kenya"
598,598,-1.02734,36.74029,194791,populated place,PPL,From Chemosit to Kisii
599,599,-0.49004,35.16685,199638,populated place,PPL,From Chemosit to Kisii
600,600,0.04626,37.65587,186827,seat of a first-order administrative division,PPLA,From Chemosit to Kisii
601,601,-0.68174,34.76666,191299,seat of a first-order administrative division,PPLA,From Chemosit to Kisii
602,602,-0.717,34.812,8051335,second-order administrative division,ADM2,From Chemosit to Kisii
603,603,-1.16667,36.83333,8693007,second-order administrative division,ADM2,From Chemosit to Kisii
604,604,0.05,37.63333,8693009,second-order administrative division,ADM2,From Chemosit to Kisii
605,605,-0.5,34.5,182763,historical first-order administrative division,ADM1H,From Chemosit to Kisii
606,606,-0.56011,35.27496,7729810,historical second-order administrative division,ADM2H,From Chemosit to Kisii
607,607,-1.28333,36.81667,184745,capital of a political entity,PPLC,"Nairobi, Kenya"
608,608,16.0,25.5,408666,first-order administrative division,ADM1,El Nahood - Umm Kaddada
609,609,14.68333,29.93333,408667,first-order administrative division,ADM1,El Nahood - Umm Kaddada
610,610,13.60169,26.68759,364933,populated place,PPL,El Nahood - Umm Kaddada
611,611,12.7,28.43333,378699,populated place,PPL,El Nahood - Umm Kaddada
612,612,12.8808,29.04599,7828737,second-order administrative division,ADM2,El Nahood - Umm Kaddada
613,613,13.0,29.5,371853,historical first-order administrative division,ADM1H,El Nahood - Umm Kaddada
614,614,16.0,25.5,408666,first-order administrative division,ADM1,El Fashir - Um Kaddada
615,615,13.60169,26.68759,364933,populated place,PPL,El Fashir - Um Kaddada
616,616,12.01667,27.56667,364662,populated place,PPL,El Fashir - Um Kaddada
617,617,13.62793,25.34936,379555,seat of a first-order administrative division,PPLA,El Fashir - Um Kaddada
618,618,11.26667,30.83333,408661,first-order administrative division,ADM1,Eldibeibat - El Fula
619,619,14.68333,29.93333,408667,first-order administrative division,ADM1,Eldibeibat - El Fula
620,620,11.73292,28.35786,379535,populated place,PPL,Eldibeibat - El Fula
621,621,13.18421,30.21669,379003,seat of a first-order administrative division,PPLA,Eldibeibat - El Fula
622,622,13.13,30.08,8051146,second-order administrative division,ADM2,Eldibeibat - El Fula
623,623,15.0376,30.521,376241,hill,HLL,Eldibeibat - El Fula
624,624,3.75,8.78333,2309527,capital of a political entity,PPLC,Malabo
626,626,10.0,32.7,381229,first-order administrative division,ADM1,Renk-Malakal
627,627,11.7431,32.8049,378487,populated place,PPL,Renk-Malakal
628,628,9.53342,31.66048,370737,seat of a first-order administrative division,PPLA,Renk-Malakal
629,629,-1.165,15.97,2569660,populated place,PPL,Oyo
